Player,MP-Standard Stats,Starts-Standard Stats,Min-Standard Stats,90s-Standard Stats,Gls-Standard Stats,Ast-Standard Stats,G+A-Standard Stats,G-PK-Standard Stats,PK-Standard Stats,PKatt-Standard Stats,CrdY-Standard Stats,CrdR-Standard Stats,xG-Standard Stats,npxG-Standard Stats,xAG-Standard Stats,npxG+xAG-Standard Stats,PrgC-Standard Stats,PrgP-Standard Stats,PrgR-Standard Stats,Gls.1-Standard Stats,Ast.1-Standard Stats,G+A.1-Standard Stats,G-PK.1-Standard Stats,G+A-PK-Standard Stats,xG.1-Standard Stats,xAG.1-Standard Stats,xG+xAG-Standard Stats,npxG.1-Standard Stats,npxG+xAG.1-Standard Stats,90s-Miscellaneous Stats,CrdY-Miscellaneous Stats,CrdR-Miscellaneous Stats,2CrdY-Miscellaneous Stats,Fls-Miscellaneous Stats,Fld-Miscellaneous Stats,Off-Miscellaneous Stats,Crs-Miscellaneous Stats,Int-Miscellaneous Stats,TklW-Miscellaneous Stats,PKwon-Miscellaneous Stats,PKcon-Miscellaneous Stats,OG-Miscellaneous Stats,Recov-Miscellaneous Stats,Won-Miscellaneous Stats,Lost-Miscellaneous Stats,Won%-Miscellaneous Stats,90s-Shooting,Gls-Shooting,Sh-Shooting,SoT-Shooting,SoT%-Shooting,Sh/90-Shooting,SoT/90-Shooting,G/Sh-Shooting,G/SoT-Shooting,Dist-Shooting,FK-Shooting,PK-Shooting,PKatt-Shooting,xG-Shooting,npxG-Shooting,npxG/Sh-Shooting,G-xG-Shooting,np:G-xG-Shooting,90s-Goal and Shot Creation,SCA-Goal and Shot Creation,SCA90-Goal and Shot Creation,PassLive-Goal and Shot Creation,PassDead-Goal and Shot Creation,TO-Goal and Shot Creation,Sh-Goal and Shot Creation,Fld-Goal and Shot Creation,Def-Goal and Shot Creation,GCA-Goal and Shot Creation,GCA90-Goal and Shot Creation,PassLive.1-Goal and Shot Creation,PassDead.1-Goal and Shot Creation,TO.1-Goal and Shot Creation,Sh.1-Goal and Shot Creation,Fld.1-Goal and Shot Creation,Def.1-Goal and Shot Creation,90s-Passing,Cmp-Passing,Att-Passing,Cmp%-Passing,TotDist-Passing,PrgDist-Passing,Cmp.1-Passing,Att.1-Passing,Cmp%.1-Passing,Cmp.2-Passing,Att.2-Passing,Cmp%.2-Passing,Cmp.3-Passing,Att.3-Passing,Cmp%.3-Passing,Ast-Passing,xAG-Passing,xA-Passing,A-xAG-Passing,KP-Passing,1/3-Passing,PPA-Passing,CrsPA-Passing,PrgP-Passing,90s-Pass Types,Att-Pass Types,Live-Pass Types,Dead-Pass Types,FK-Pass Types,TB-Pass Types,Sw-Pass Types,Crs-Pass Types,TI-Pass Types,CK-Pass Types,In-Pass Types,Out-Pass Types,Str-Pass Types,Cmp-Pass Types,Off-Pass Types,Blocks-Pass Types,MP-Playing Time,Min-Playing Time,Mn/MP-Playing Time,Min%-Playing Time,90s-Playing Time,Starts-Playing Time,Mn/Start-Playing Time,Compl-Playing Time,Subs-Playing Time,Mn/Sub-Playing Time,unSub-Playing Time,PPM-Playing Time,onG-Playing Time,onGA-Playing Time,+/--Playing Time,+/-90-Playing Time,On-Off-Playing Time,onxG-Playing Time,onxGA-Playing Time,xG+/--Playing Time,xG+/-90-Playing Time,On-Off.1-Playing Time,90s-Defensive Actions,Tkl-Defensive Actions,TklW-Defensive Actions,Def 3rd-Defensive Actions,Mid 3rd-Defensive Actions,Att 3rd-Defensive Actions,Tkl.1-Defensive Actions,Att-Defensive Actions,Tkl%-Defensive Actions,Lost-Defensive Actions,Blocks-Defensive Actions,Sh-Defensive Actions,Pass-Defensive Actions,Int-Defensive Actions,Tkl+Int-Defensive Actions,Clr-Defensive Actions,Err-Defensive Actions
Gil,36.0,36.0,3240.0,36.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,1.4,4.2,9.0,105.0,3.0,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12,36.0,4,0,0,27,18,1,3,39,20,0.0,0.0,1,135.0,128.0,44.0,74.4,36.0,2,27,6,22.2,0.75,0.17,0.07,0.33,11.8,0.0,0,0,2.9,2.9,0.11,-0.9,-0.9,36.0,26.0,0.72,19.0,0.0,0.0,4.0,1.0,2.0,3.0,0.08,2.0,0.0,0.0,1.0,0.0,0.0,36.0,1513.0,1782.0,84.9,30797.0,11229.0,429.0,481.0,89.2,905.0,983.0,92.1,172.0,289.0,59.5,2,1.4,1.1,0.6,10.0,107.0,4.0,0.0,105.0,36.0,1782.0,1693.0,88.0,85.0,0.0,15.0,3,3.0,0.0,0.0,0.0,0.0,1513.0,1.0,5.0,36.0,3240.0,90.0,94.7,36.0,36.0,90.0,36.0,0.0,,0,1.33,40.0,42.0,-2.0,-0.06,-1.06,41.2,51.6,-10.4,-0.29,-0.38,36.0,33.0,20,23.0,9.0,1.0,17.0,26.0,65.4,9.0,44.0,30.0,14.0,39,72,166.0,1.0
Cássio,35.0,35.0,3142.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,2,1,0,1,5,0,0,0,1,0.0,1.0,0,28.0,8.0,0.0,100.0,34.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,34.9,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,783.0,1090.0,71.8,23672.0,17456.0,121.0,121.0,100.0,345.0,349.0,98.9,316.0,616.0,51.3,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,34.9,1090.0,638.0,449.0,136.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,783.0,3.0,0.0,35.0,3142.0,90.0,91.9,34.9,35.0,90.0,33.0,0.0,,0,1.2,41.0,45.0,-4.0,-0.11,-1.41,39.3,51.7,-12.5,-0.36,-1.07,34.9,1.0,1,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0,1,6.0,1.0
Fagner,32.0,32.0,2778.0,30.9,2.0,3.0,5.0,1.0,1.0,1.0,7.0,1.0,2.1,1.3,3.7,5.0,74.0,190.0,146.0,0.06,0.1,0.16,0.03,0.13,0.07,0.12,0.19,0.04,0.16,30.9,7,1,0,47,24,3,182,55,42,1.0,1.0,0,152.0,24.0,49.0,32.9,30.9,2,21,8,38.1,0.68,0.26,0.05,0.13,22.1,1.0,1,1,2.1,1.3,0.06,-0.1,-0.3,30.9,90.0,2.92,52.0,30.0,1.0,2.0,3.0,2.0,6.0,0.19,2.0,3.0,0.0,0.0,1.0,0.0,30.9,1336.0,1864.0,71.7,25153.0,12719.0,585.0,669.0,87.4,575.0,765.0,75.2,162.0,354.0,45.8,3,3.7,4.6,-0.7,46.0,163.0,55.0,18.0,190.0,30.9,1864.0,1376.0,484.0,69.0,1.0,20.0,182,346.0,69.0,0.0,63.0,4.0,1336.0,4.0,43.0,32.0,2778.0,87.0,81.2,30.9,32.0,87.0,29.0,0.0,,0,1.5,42.0,37.0,5.0,0.16,0.86,39.4,40.2,-0.8,-0.03,1.3,30.9,60.0,42,38.0,16.0,6.0,24.0,45.0,53.3,21.0,30.0,6.0,24.0,55,115,73.0,0.0
Jô,30.0,24.0,2113.0,23.5,6.0,1.0,7.0,6.0,0.0,1.0,1.0,1.0,7.1,6.3,3.4,9.7,18.0,60.0,120.0,0.26,0.04,0.3,0.26,0.3,0.3,0.14,0.45,0.27,0.41,23.5,1,1,0,29,31,14,8,0,1,0.0,0.0,0,39.0,100.0,65.0,60.6,23.5,6,39,19,48.7,1.66,0.81,0.15,0.32,12.4,0.0,0,1,7.1,6.3,0.17,-1.1,-0.3,23.5,53.0,2.26,46.0,0.0,2.0,3.0,1.0,1.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,23.5,400.0,554.0,72.2,5271.0,962.0,260.0,350.0,74.3,110.0,149.0,73.8,10.0,14.0,71.4,1,3.4,1.5,-2.4,33.0,30.0,14.0,1.0,60.0,23.5,554.0,506.0,48.0,1.0,0.0,1.0,8,0.0,0.0,0.0,0.0,0.0,400.0,0.0,7.0,30.0,2113.0,70.0,61.8,23.5,24.0,83.0,15.0,6.0,22.0,0,1.23,25.0,25.0,0.0,0.0,0.0,26.0,32.9,-6.9,-0.29,-0.06,23.5,3.0,1,1.0,1.0,1.0,1.0,8.0,12.5,7.0,10.0,2.0,8.0,0,3,15.0,0.0
Gabriel,28.0,24.0,2016.0,22.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,1.9,1.9,0.5,2.4,26.0,113.0,40.0,0.09,0.09,0.18,0.09,0.18,0.09,0.02,0.11,0.09,0.11,22.4,6,1,0,45,35,0,11,50,45,1.0,0.0,0,136.0,20.0,29.0,40.8,22.4,2,18,5,27.8,0.8,0.22,0.11,0.4,18.8,0.0,0,0,1.9,1.9,0.11,0.1,0.1,22.4,42.0,1.87,36.0,0.0,0.0,3.0,3.0,0.0,7.0,0.31,6.0,0.0,0.0,0.0,1.0,0.0,22.4,1077.0,1272.0,84.7,18020.0,5061.0,527.0,604.0,87.3,436.0,491.0,88.8,90.0,120.0,75.0,2,0.5,0.8,1.5,15.0,110.0,11.0,3.0,113.0,22.4,1272.0,1233.0,39.0,35.0,1.0,16.0,11,3.0,0.0,0.0,0.0,0.0,1077.0,0.0,21.0,28.0,2016.0,72.0,58.9,22.4,24.0,81.0,11.0,4.0,19.0,6,1.25,25.0,28.0,-3.0,-0.13,-0.33,24.2,33.0,-8.8,-0.39,-0.3,22.4,66.0,45,31.0,32.0,3.0,31.0,77.0,40.3,46.0,38.0,6.0,32.0,50,116,18.0,2.0
Víctor Cantillo,25.0,21.0,1554.0,17.3,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.3,1.7,16.0,148.0,16.0,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.1,0.02,0.1,17.3,6,0,0,28,34,0,2,29,12,0.0,0.0,0,74.0,23.0,14.0,62.2,17.3,0,13,2,15.4,0.75,0.12,0.0,0.0,27.5,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,17.3,40.0,2.32,35.0,0.0,1.0,1.0,2.0,1.0,5.0,0.29,5.0,0.0,0.0,0.0,0.0,0.0,17.3,872.0,990.0,88.1,16902.0,5426.0,356.0,389.0,91.5,380.0,418.0,90.9,126.0,152.0,82.9,3,1.3,1.3,1.7,11.0,138.0,13.0,1.0,148.0,17.3,990.0,960.0,27.0,20.0,2.0,23.0,2,7.0,0.0,0.0,0.0,0.0,872.0,3.0,11.0,25.0,1554.0,62.0,45.4,17.3,21.0,71.0,3.0,4.0,16.0,7,1.15,19.0,20.0,-1.0,-0.06,-0.11,17.4,25.2,-7.9,-0.46,-0.34,17.3,32.0,12,19.0,12.0,1.0,17.0,46.0,37.0,29.0,27.0,4.0,23.0,29,61,24.0,0.0
Ramiro Benetti,31.0,20.0,1803.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.6,1.6,2.1,3.7,14.0,142.0,117.0,0.05,0.05,0.1,0.05,0.1,0.08,0.1,0.18,0.08,0.18,20.0,8,0,0,59,26,1,30,42,23,0.0,0.0,0,116.0,47.0,47.0,50.0,20.0,1,31,11,35.5,1.55,0.55,0.03,0.09,20.4,0.0,0,0,1.6,1.6,0.05,-0.6,-0.6,20.0,52.0,2.6,45.0,1.0,0.0,2.0,3.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,20.0,858.0,1120.0,76.6,14264.0,4726.0,450.0,540.0,83.3,305.0,382.0,79.8,85.0,137.0,62.0,1,2.1,2.1,-1.1,18.0,88.0,18.0,3.0,142.0,20.0,1120.0,1076.0,38.0,16.0,0.0,10.0,30,21.0,1.0,0.0,0.0,0.0,858.0,6.0,23.0,31.0,1803.0,58.0,52.7,20.0,20.0,75.0,2.0,11.0,27.0,2,1.35,19.0,23.0,-4.0,-0.2,-0.42,21.9,28.6,-6.7,-0.33,-0.14,20.0,38.0,23,16.0,16.0,6.0,19.0,50.0,38.0,31.0,24.0,1.0,23.0,42,80,30.0,0.0
Fábio Santos,20.0,20.0,1780.0,19.8,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,2.6,0.3,0.6,0.9,26.0,83.0,61.0,0.15,0.0,0.15,0.0,0.0,0.13,0.03,0.16,0.01,0.05,19.8,3,0,0,18,19,0,35,30,14,0.0,0.0,0,110.0,39.0,17.0,69.6,19.8,3,7,0,0.0,0.35,0.0,0.0,,23.4,0.0,3,3,2.6,0.3,0.04,0.4,-0.3,19.8,28.0,1.42,22.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,864.0,1075.0,80.4,13421.0,5895.0,489.0,549.0,89.1,323.0,405.0,79.8,40.0,79.0,50.6,0,0.6,0.8,-0.6,13.0,71.0,14.0,3.0,83.0,19.8,1075.0,862.0,211.0,30.0,0.0,5.0,35,181.0,0.0,0.0,0.0,0.0,864.0,2.0,18.0,20.0,1780.0,89.0,52.0,19.8,20.0,89.0,19.0,0.0,,0,1.65,24.0,18.0,6.0,0.3,0.63,24.1,25.1,-1.0,-0.05,0.46,19.8,24.0,14,18.0,6.0,0.0,12.0,25.0,48.0,13.0,20.0,11.0,9.0,30,54,74.0,0.0
Rómulo Otero,24.0,18.0,1527.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,2.8,2.8,1.2,4.0,38.0,64.0,108.0,0.12,0.06,0.18,0.12,0.18,0.16,0.07,0.24,0.16,0.24,17.0,8,1,1,34,66,4,103,12,17,0.0,0.0,0,94.0,29.0,36.0,44.6,17.0,2,46,19,41.3,2.71,1.12,0.04,0.11,27.2,17.0,0,0,2.8,2.8,0.06,-0.8,-0.8,17.0,50.0,2.95,25.0,13.0,1.0,4.0,5.0,2.0,4.0,0.24,1.0,2.0,0.0,1.0,0.0,0.0,17.0,435.0,594.0,73.2,7232.0,2368.0,233.0,259.0,90.0,152.0,192.0,79.2,43.0,115.0,37.4,1,1.2,1.5,-0.2,17.0,37.0,22.0,5.0,64.0,17.0,594.0,485.0,107.0,41.0,1.0,4.0,103,8.0,58.0,32.0,19.0,3.0,435.0,2.0,16.0,24.0,1527.0,64.0,44.6,17.0,18.0,74.0,4.0,6.0,32.0,1,1.25,18.0,18.0,0.0,0.0,0.0,18.1,22.9,-4.8,-0.28,-0.02,17.0,30.0,17,16.0,9.0,5.0,15.0,35.0,42.9,20.0,9.0,2.0,7.0,12,42,10.0,0.0
Gustavo Mosquito,27.0,16.0,1284.0,14.3,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,1.6,5.6,49.0,28.0,140.0,0.35,0.21,0.56,0.35,0.56,0.28,0.11,0.39,0.28,0.39,14.3,1,0,0,14,36,3,39,6,8,1.0,0.0,0,50.0,4.0,17.0,19.0,14.3,5,30,15,50.0,2.1,1.05,0.17,0.33,14.8,0.0,0,0,4.0,4.0,0.13,1.0,1.0,14.3,41.0,2.87,27.0,0.0,6.0,3.0,5.0,0.0,9.0,0.63,4.0,0.0,2.0,2.0,1.0,0.0,14.3,244.0,340.0,71.8,3150.0,778.0,167.0,192.0,87.0,61.0,81.0,75.3,7.0,24.0,29.2,3,1.6,1.5,1.4,17.0,7.0,11.0,4.0,28.0,14.3,340.0,331.0,7.0,1.0,0.0,0.0,39,6.0,0.0,0.0,0.0,0.0,244.0,2.0,24.0,27.0,1284.0,48.0,37.5,14.3,16.0,63.0,0.0,11.0,25.0,4,1.37,22.0,24.0,-2.0,-0.14,-0.22,18.6,21.3,-2.7,-0.19,0.13,14.3,14.0,8,5.0,7.0,2.0,8.0,19.0,42.1,11.0,11.0,2.0,9.0,6,20,13.0,0.0
